original_asset_file_name,file_type,suggested_project_or_category,suggested_use,notes,selected_for_website,final_filename
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Behind the Scenes Film_Lunch with Rachel.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/behind-the-scenes-film-lunch-with-rachel.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_1 (2025).JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/rachel-1-2025.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_2 (2025).JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/rachel-2-2025.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_3.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/rachel-3.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_4.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/rachel-4.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_5.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-rachel/rachel-5.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/Between Courses.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-layla/between-courses.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/DO01040407.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-layla/do01040407.jpg.,YES,
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/DO01040415.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/jewellery-layla/do01040415.jpg.,YES,
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020036.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/material-conversations/do01020036.jpg.,YES,
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020926.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/material-conversations/do01020926.jpg.,YES,
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020934.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/material-conversations/do01020934.jpg.,YES,
Project 02_Photography : Visual Storytelling/3.Press Event/The Living Table_1.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/press-event/the-living-table-1.jpg.,YES,
Project 02_Photography : Visual Storytelling/3.Press Event/The Living table_2.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/press-event/the-living-table-2.jpg.,YES,
Project 02_Photography : Visual Storytelling/3.Press Event/The Living Table_3.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/press-event/the-living-table-3.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_1.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-1.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_2.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-2.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_3.jpeg,jpeg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-3.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_4.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-4.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_5.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-5.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_6.jpeg,jpeg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-6.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_7.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-just-kids/just-kids-7.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Christmas Season in Soho View from a Black Cab.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-london-feelings/christmas-season-in-soho-view-from-a-black-cab.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Lunch Together.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-london-feelings/lunch-together.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Milkway.jpeg,jpeg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-london-feelings/milkway.jpg.,YES,
