original_file_name,current_location,selected_for_website,project_or_section,asset_type,final_filename,final_website_location,suggested_caption,suggested_alt_text,usage_notes
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Behind the Scenes Film_Lunch with Rachel.jpg,assets/projects/photography/jewellery-rachel/behind-the-scenes-film-lunch-with-rachel.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-behind-scenes-01.jpg,assets/projects/photography/photography-gallery-jewellery-behind-scenes-01.jpg,Behind the scenes with silversmith Rachel.,Behind-the-scenes photograph from a jewellery shoot with silversmith Rachel.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_1 (2025).JPG,assets/projects/photography/jewellery-rachel/rachel-1-2025.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-rachel-01.jpg,assets/projects/photography/photography-gallery-jewellery-rachel-01.jpg,"Jewellery portrait study with Rachel, image 1.","Portrait from the Rachel silversmith jewellery series, image 1.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_2 (2025).JPG,assets/projects/photography/jewellery-rachel/rachel-2-2025.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-rachel-02.jpg,assets/projects/photography/photography-gallery-jewellery-rachel-02.jpg,"Jewellery portrait study with Rachel, image 2.","Portrait from the Rachel silversmith jewellery series, image 2.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_3.JPG,assets/projects/photography/jewellery-rachel/rachel-3.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-rachel-03.jpg,assets/projects/photography/photography-gallery-jewellery-rachel-03.jpg,"Jewellery portrait study with Rachel, image 3.","Portrait from the Rachel silversmith jewellery series, image 3.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_4.JPG,assets/projects/photography/jewellery-rachel/rachel-4.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-rachel-04.jpg,assets/projects/photography/photography-gallery-jewellery-rachel-04.jpg,"Jewellery portrait study with Rachel, image 4.","Portrait from the Rachel silversmith jewellery series, image 4.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Smith Works for Rachel/Rachel_5.JPG,assets/projects/photography/jewellery-rachel/rachel-5.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-rachel-05.jpg,assets/projects/photography/photography-gallery-jewellery-rachel-05.jpg,"Jewellery portrait study with Rachel, image 5.","Portrait from the Rachel silversmith jewellery series, image 5.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/Between Courses.jpg,assets/projects/photography/jewellery-layla/between-courses.jpg,yes,Photography & Visual Storytelling,project cover,photography-cover-jewellery-between-courses-01.jpg,assets/projects/previews/main/photography-cover-jewellery-between-courses-01.jpg,"Between Courses, from the Layla jewellery series.",Editorial jewellery photograph titled Between Courses.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/DO01040407.jpg,assets/projects/photography/jewellery-layla/do01040407.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-layla-01.jpg,assets/projects/photography/photography-gallery-jewellery-layla-01.jpg,"Jewellery study with Layla, image 1.","Editorial jewellery photograph from the Layla series, image 1.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/DO01040415.jpg,assets/projects/photography/jewellery-layla/do01040415.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-jewellery-layla-02.jpg,assets/projects/photography/photography-gallery-jewellery-layla-02.jpg,"Jewellery study with Layla, image 2.","Editorial jewellery photograph from the Layla series, image 2.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020036.JPG,assets/projects/photography/material-conversations/do01020036.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-material-conversations-01.jpg,assets/projects/photography/photography-gallery-material-conversations-01.jpg,"Material Conversations exhibition, image 1.","Exhibition photograph from Material Conversations, image 1.",Selected for the first website build; create responsive derivatives during implementation.
